c_number,name,formula,exact_mass,mol_weight,pathway,reaction,enzyme,description
C00136,Butanoyl-CoA;,C25H42N7O17P3S,837.1571,837.63,map00062  Fatty acid elongation,R01171 R01172 R01173 R01174 R01175 R01176 R01177 R01179,1.2.1.10        1.2.1.57        1.2.1.87        1.3.1.44,
C00137,myo-Inositol;,C6H12O6,180.0634,180.16,map00052  Galactose metabolism,R01183 R01184 R01185 R01186 R01187 R01188 R01189 R01190,1.1.1.18        1.13.99.1       2.1.1.39        2.1.1.40,
C00138,Reduced ferredoxin;,,,,,R00002 R00019 R00021 R00790 R00791 R00859 R01195 R01196,1.1.1.436       1.1.7.1         1.2.7.1         1.2.7.3,
C00139,Oxidized ferredoxin;,,,,,R00002 R00019 R00021 R00790 R00791 R00859 R01195 R01196,1.1.1.436       1.1.7.1         1.2.7.1         1.2.7.3,
C00140,N-Acetyl-D-glucosamine;,C8H15NO6,221.0899,221.21,map00520  Amino sugar and nucleotide sugar metabolism,R00022 R01200 R01201 R01203 R01204 R01205 R01206 R01207,1.1.3.29        2.3.1.3         2.4.1.90        2.4.1.211,
C00141,3-Methyl-2-oxobutanoic acid;,C5H8O3,116.0473,116.12,"map00280  Valine, leucine and isoleucine degradation",R01209 R01210 R01211 R01212 R01213 R01214 R01215 R01216,1.1.1.84        1.2.1.25        1.2.4.4         1.2.7.7,
C00143,"5,10-Methylenetetrahydrofolate;",C20H23N7O6,457.1710,457.44,"map00260  Glycine, serine and threonine metabolism",R00611 R00945 R01217 R01218 R01220 R01221 R01224 R01225,1.4.1.27        1.5.1.5         1.5.1.15        1.5.1.20,
C00144,GMP;,C10H14N5O8P,363.0580,363.22,map00230  Purine metabolism,R00328 R00332 R00426 R00881 R01134 R01227 R01228 R01229,1.7.1.7         2.4.2.8         2.4.2.22        2.7.1.73,
C00145,Thiol;,HSR,,,,R01235 R01236 R01237 R02418 R11878 R12188,1.8.3.7         2.1.1.9         2.8.2.16        3.2.1.147,
C00146,Phenol;,C6H6O,94.0419,94.11,map00350  Tyrosine metabolism,R00728 R00815 R01238 R01239 R01241 R05625 R07697 R09539,1.14.13.7       1.14.13.244     1.14.14.20      1.14.-.-,
C00147,Adenine;,C5H5N5,135.0545,135.13,map00230  Purine metabolism,R00182 R00190 R00194 R01244 R01245 R01401 R01402 R01561,1.5.99.12       1.17.1.4        1.17.3.2        2.4.2.1,
C00148,L-Proline;,C5H9NO2,115.0633,115.13,map00330  Arginine and proline metabolism,R00135 R00671 R01246 R01248 R01249 R01251 R01252 R01253,1.5.1.1         1.5.1.2         1.5.1.21        1.5.1.49,
C00149,(S)-Malate;,C4H6O5,134.0215,134.09,map00020  Citrate cycle (TCA cycle),R00214 R00216 R00342 R00343 R00360 R00361 R00406 R00472,1.1.1.37        1.1.1.38        1.1.1.39        1.1.1.40,
C00150,Molybdenum,Mo,97.9054,95.95,,,,
C00151,L-Amino acid;,C2H4NO2R,,,map00480  Glutathione metabolism,R01258 R01259 R01260 R01261 R01262 R01263 R01264 R01265,1.4.1.5         1.4.3.2         1.5.3.2         1.14.13.-,
C00152,L-Asparagine;,C4H8N2O3,132.0535,132.12,"map00250  Alanine, aspartate and glutamate metabolism",R00482 R00483 R00485 R00578 R01266 R01267 R01346 R01485,1.14.11.39      2.3.2.7         2.6.1.14        3.2.2.11,
C00153,Nicotinamide;,C6H6N2O,122.0480,122.12,map00760  Nicotinate and nicotinamide metabolism,R00102 R00119 R00555 R01268 R01269 R01270 R01271 R01273,2.1.1.1         2.3.1.286       2.3.1.313       2.4.2.1,
C00154,Palmitoyl-CoA;,C37H66N7O17P3S,1005.3449,1005.95,map00061  Fatty acid biosynthesis,R01274 R01277 R01278 R01279 R01280 R01281 R01282 R01923,1.2.1.42        1.3.1.8         1.3.1.38        1.3.3.6,
C00155,L-Homocysteine;,C4H9NO2S,135.0354,135.19,map00270  Cysteine and methionine metabolism,R00192 R00650 R00946 R01283 R01286 R01287 R01288 R01289,1.8.4.1         2.1.1.3         2.1.1.5         2.1.1.10,
C00156,4-Hydroxybenzoate;,C7H6O3,138.0317,138.12,map00130  Ubiquinone and other terpenoid-quinone biosynthesis,R01238 R01293 R01294 R01295 R01296 R01297 R01298 R01299,1.2.1.7         1.2.1.28        1.2.1.64        1.2.1.96,
C00157,Phosphatidylcholine;,C10H18NO8PR2,,,map00564  Glycerophospholipid metabolism,R01309 R01310 R01312 R01313 R01314 R01315 R01316 R01317,2.1.1.16        2.1.1.71        2.3.1.23        2.3.1.43,
C00158,Citrate;,C6H8O7,192.0270,192.12,map00020  Citrate cycle (TCA cycle),R00351 R00352 R00362 R01322 R01323 R01324 R01325 R10090,2.3.3.1         2.3.3.3         2.3.3.5         2.3.3.8,
C00159,D-Mannose;,C6H12O6,180.0634,180.16,map00051  Fructose and mannose metabolism,R00877 R01326 R01327 R01328 R01329 R01330 R01331 R01332,1.1.1.255       1.1.3.40        2.4.1.339       2.7.1.1,
C00160,Glycolate;,C2H4O3,76.0160,76.05,map00361  Chlorocyclohexane and chlorobenzene degradation,R00465 R00475 R00476 R00717 R01333 R01334 R01335 R01336,1.1.1.26        1.1.1.29        1.1.1.79        1.1.3.15,
C00161,2-Oxo acid;,C2HO3R,,,,R00145 R00146 R00493 R00636 R01258 R01259 R01261 R01337,1.1.1.272       1.1.1.337       1.1.1.345       1.1.1.375,
C00162,Fatty acid,CHO2R,,,map00062  Fatty acid elongation,R00631 R00638 R01309 R01315 R01316 R01347 R01348 R01349,1.2.1.3         1.2.1.5         1.2.5.2         1.2.99.6,
C00163,Propanoate;,C3H6O2,74.0368,74.08,map00640  Propanoate metabolism,R00920 R00925 R00928 R01353 R01354 R01355 R01449 R05366,1.3.1.125       2.7.2.1         2.7.2.15        2.8.3.1,
C00164,Acetoacetate;,C4H6O3,102.0317,102.09,"map00280  Valine, leucine and isoleucine degradation",R00410 R01357 R01358 R01359 R01360 R01361 R01364 R01365,1.1.1.30        1.1.99.24       1.8.1.5         2.3.1.247,
C00165,Diacylglycerol;,C5H6O5R2,,,map01521  EGFR tyrosine kinase inhibitor resistance,R01368 R01369 R04055 R05209 R11555 R11556 R11557 R12202,2.3.1.22        2.3.1.77        2.7.8.43        3.1.1.3,
C00166,Phenylpyruvate;,C9H8O3,164.0473,164.16,map00360  Phenylalanine metabolism,R00688 R00689 R00692 R00694 R00695 R01370 R01371 R01372,1.1.1.110       1.1.1.237       1.4.1.20        1.4.3.2,
C00167,UDP-glucuronate;,C15H22N2O18P2,580.0343,580.28,map00040  Pentose and glucuronate interconversions,R00286 R01381 R01383 R01384 R01385 R01386 R01387 R02358,1.1.1.22        1.1.1.305       2.4.1.17        2.4.1.135,
C00168,Hydroxypyruvate;,C3H4O4,104.0110,104.06,"map00260  Glycine, serine and threonine metabolism",R00581 R00585 R00588 R01388 R01390 R01392 R01393 R01394,1.1.1.26        1.1.1.29        1.1.1.79        1.1.1.81,
C00169,Carbamoyl phosphate,CH4NO5P,140.9827,141.02,map00220  Arginine biosynthesis,R00149 R00150 R00575 R01395 R01396 R01397 R01398 R01399,2.1.3.2         2.1.3.3         2.1.3.5         2.1.3.6,
C00170,5'-Methylthioadenosine;,C11H15N5O3S,297.0896,297.34,map00270  Cysteine and methionine metabolism,R00075 R00179 R01401 R01402 R01920 R02869 R03019 R03072,2.3.1.184       2.3.1.228       2.3.1.229       2.4.2.28,
C00171,5'-Phosphomononucleotide;,C5H10O7PR,,,,,,
C00172,3'-Phosphooligonucleotide,C10H19O16P3R2(C5H8O6PR)n,,,,,,
C00173,Acyl-[acyl-carrier protein],C3H4OSR2,,,map00061  Fatty acid biosynthesis,R01403 R01404 R02768 R04473 R04864 R07325 R08940 R09380,1.3.1.9         1.3.1.10        1.3.1.39        1.3.1.104,
C00174,Acid,,,,,R07325,6.2.1.-,
C00175,Cobalt ion;,Co,58.9332,58.93,map02010  ABC transporters,R05227 R05807,4.99.1.3        6.6.1.2,
C00176,Flavin,C12H9N4O2R,,,,R09662,1.5.1.36,
C00177,Cyanide ion;,CN,26.0031,26.02,,R00374 R01409 R01931 R02811 R02846 R02999 R07214 R09359,1.4.99.5        1.14.17.4       1.16.1.6        2.8.1.1,
C00178,Thymine;,C5H6N2O2,126.0429,126.11,map00240  Pyrimidine metabolism,R01411 R01412 R01413 R01414 R01415 R01570 R02806 R09937,1.3.1.1         1.3.1.2         1.14.11.6       1.14.99.46,
C00179,Agmatine;,C5H14N4,130.1218,130.19,map00330  Arginine and proline metabolism,R00566 R01157 R01416 R01417 R01418 R01425 R01617 R09255,1.5.1.55        2.3.1.64        2.5.1.104       2.7.3.10,
C00180,Benzoate;,C7H6O2,122.0368,122.12,map00362  Benzoate degradation,R01295 R01419 R01420 R01421 R01422 R01423 R01424 R01425,1.2.1.7         1.2.1.28        1.14.12.10      1.14.13.-,
C00181,D-Xylose;,C5H10O5,150.0528,150.13,map00040  Pentose and glucuronate interconversions,R01429 R01430 R01431 R01432 R01433 R04937 R06203 R07152,1.1.1.21        1.1.1.121       1.1.1.175       1.1.1.179,
C00182,Glycogen,C24H42O21,666.2219,666.58,map04922  Glucagon signaling pathway,,,
C00183,L-Valine;,C5H11NO2,117.0790,117.15,"map00280  Valine, leucine and isoleucine degradation",R01212 R01214 R01215 R01434 R01437 R02200 R03665 R04870,1.4.1.8         1.4.1.9         1.4.1.23        1.14.14.38,
C00184,Glycerone;,C3H6O3,90.0317,90.08,map00561  Glycerolipid metabolism,R01010 R01011 R01012 R01034 R01039 R01045 R01440 R06862,1.1.1.6         1.1.1.156       1.1.99.22       2.2.1.3,
C00185,Cellobiose;,C12H22O11,342.1162,342.30,map00500  Starch and sucrose metabolism,R00026 R00306 R00952 R01441 R01442 R01443 R01444 R01445,1.1.99.18       2.4.1.20        2.7.1.85        2.7.1.205,
C00186,(S)-Lactate;,C3H6O3,90.0317,90.08,map00010  Glycolysis / Gluconeogenesis,R00196 R00319 R00703 R00753 R01446 R01447 R01449 R01450,1.1.1.27        1.1.1.436       1.1.2.3         1.1.3.2,
C00187,Cholesterol;,C27H46O,386.3549,386.65,map00100  Steroid biosynthesis,R01451 R01452 R01453 R01454 R01456 R01457 R01459 R01460,1.1.1.145       1.1.3.6         1.3.1.21        1.3.1.72,
C00188,L-Threonine;,C4H9NO3,119.0582,119.12,"map00260  Glycine, serine and threonine metabolism",R00751 R00996 R01465 R01466 R01467 R03663 R06531 R07247,1.1.1.103       2.2.1.8         2.7.1.177       2.7.7.87,
C00189,Ethanolamine;,C2H7NO,61.0528,61.08,map00564  Glycerophospholipid metabolism,R00749 R01468 R01469 R01470 R02041 R02051 R04248 R04362,1.4.3.8         2.6.-.-         2.7.1.82        2.7.8.29,
C00190,UDP-D-xylose;,C14H22N2O16P2,536.0445,536.28,map00520  Amino sugar and nucleotide sugar metabolism,R01384 R01471 R01472 R01473 R01474 R02119 R03268 R03928,2.4.2.24        2.4.2.32        2.4.2.35        2.4.2.40,
C00191,D-Glucuronate;,C6H10O7,194.0427,194.14,map00040  Pentose and glucuronate interconversions,R01184 R01476 R01478 R01480 R01481 R01482 R01483 R01484,1.1.1.2         1.1.1.19        1.1.1.203       1.13.99.1,
C00192,Hydroxylamine;,NH3O,33.0215,33.03,map00910  Nitrogen metabolism,R00023 R00143 R00148 R00283 R00284 R00793 R01485 R08757,1.3.7.8         1.7.1.5         1.7.1.10        1.7.2.6,
C00193,Aromatic aldehyde,C7H6O,106.0419,106.12,,R01486 R01487 R01488 R01489 R01490 R01491,1.1.1.90        1.1.1.91        1.1.3.7         1.2.1.29,
C00194,Cobamide coenzyme;,C72H100CoN18O17P,1578.6583,1579.58,map00860  Porphyrin metabolism,R01492 R05223 R11173 R12183 R12857 R12945,2.5.1.17        2.5.1.154       2.7.8.26        3.1.3.73,
C00195,N-Acylsphingosine;,C19H36NO3R,,,map00600  Sphingolipid metabolism,R01493 R01494 R01495 R01496 R01497 R01498 R01500 R01503,1.14.19.17      1.14.19.18      2.3.1.24        2.3.1.291,
C00196,"2,3-Dihydroxybenzoate;",C7H6O4,154.0266,154.12,map00362  Benzoate degradation,R00821 R00980 R01504 R01505 R01506 R01507 R01508 R07644,1.3.1.28        1.13.11.14      1.13.11.28      1.14.13.35,
C00197,3-Phospho-D-glycerate;,C3H7O7P,185.9929,186.06,map00010  Glycolysis / Gluconeogenesis,R00024 R01058 R01511 R01512 R01513 R01514 R01515 R01516,1.1.1.95        1.2.1.9         1.2.1.90        1.2.7.6,
C00198,"D-Glucono-1,5-lactone;",C6H10O6,178.0477,178.14,map00030  Pentose phosphate pathway,R00300 R00305 R00874 R01519 R01520 R01521 R01522 R03861,1.1.1.47        1.1.1.118       1.1.1.119       1.1.1.121,
C00199,D-Ribulose 5-phosphate,C5H11O8P,230.0192,230.11,map00030  Pentose phosphate pathway,R01056 R01523 R01524 R01525 R01526 R01528 R01529 R01530,1.1.1.44        1.1.1.137       1.1.1.343       1.1.1.351,
C00200,Phenazine methosulfate;,C13H11N2. CH3SO4,306.0674,306.34,,,,
C00201,Nucleoside triphosphate;,C5H12O13P3R,,,,R00331 R00333 R00444 R01532 R02319 R02320 R02321 R02432,2.7.1.40        2.7.1.74        2.7.4.6         2.7.4.10,
C00202,Isoflurophate;,C6H14FO3P,184.0665,184.15,,R01533,3.8.2.2,
C00203,UDP-N-acetyl-D-galactosamine;,C17H27N3O17P2,607.0816,607.35,map00512(G10611)  Mucin type O-glycan biosynthesis,R00418 R01537 R02183 R03490 R04182 R04423 R04584 R04603,1.1.1.-         2.4.1.40        2.4.1.41        2.4.1.79,
C00204,2-Dehydro-3-deoxy-D-gluconate;,C6H10O6,178.0477,178.14,map00030  Pentose phosphate pathway,R01538 R01540 R01541 R01542 R01543 R01544 R05606 R08570,1.1.1.125       1.1.1.126       1.1.1.127       2.7.1.45,
C00205,hn;,,,,,R02128 R02905 R03311 R03677 R03907 R04036 R04063 R04078,1.10.3.9        1.13.12.6       1.13.12.7       1.13.12.8,
C00206,dADP;,C10H15N5O9P2,411.0345,411.20,map00230  Purine metabolism,R01137 R01138 R01139 R01140 R01330 R01547 R01965 R02017,1.17.4.1        2.7.1.1         2.7.1.40        2.7.4.3,
C00207,Acetone;,C3H6O,58.0419,58.08,map00650  Butanoate metabolism,R01366 R01550 R01553 R03796 R05564 R05568 R05735 R08207,1.1.1.80        1.1.1.-         1.14.13.226     1.14.14.141,
C00208,Maltose;,C12H22O11,342.1162,342.30,map00500  Starch and sucrose metabolism,R00028 R00957 R01555 R01556 R01557 R02112 R04111 R05196,2.3.1.79        2.4.1.8         2.4.1.25        2.4.1.139,
C00209,Oxalate;,C2H2O4,89.9953,90.03,map00230  Purine metabolism,R00273 R00338 R00466 R00522 R00646 R01558 R01559 R07290,1.2.3.4         1.2.3.5         1.2.7.10        2.8.3.2,
C00210,Cobamide,C53H79CoN11O14P(R1)(R2),,,,,,
C00211,Collagen,C4H6N2O3R2(C7H9N2O2R)n,,,,,,
C00212,Adenosine,C10H13N5O4,267.0968,267.24,map00230  Purine metabolism,R00183 R00185 R00192 R01245 R01560 R01561 R01562 R01571,1.1.3.39        2.4.2.1         2.5.1.153       2.7.1.20,
C00213,Sarcosine;,C3H7NO2,89.0477,89.09,"map00260  Glycine, serine and threonine metabolism",R00367 R00610 R00611 R01563 R01564 R01565 R01566 R05862,1.4.3.19        1.5.3.1         1.5.3.10        1.5.3.24,
C00214,Thymidine;,C10H14N2O5,242.0903,242.23,map00240  Pyrimidine metabolism,R01567 R01568 R01569 R01570 R01571 R02806,2.4.2.2         2.4.2.4         2.4.2.6         2.7.1.21,
C00215,Nucleotide,,,,,R00329 R01532 R07341,2.7.1.77        3.6.1.6         3.6.1.9,
C00216,D-Arabinose;,C5H10O5,150.0528,150.13,map00040  Pentose and glucuronate interconversions,R01573 R01574 R01575 R01576 R01577 R12824,1.1.1.116       1.1.1.117       1.1.1.427       2.7.1.54,
C00217,D-Glutamate;,C5H9NO4,147.0532,147.13,map00470  D-Amino acid metabolism,R00260 R00279 R01148 R01578 R01579 R01580 R01581 R01582,1.4.3.7         1.4.3.15        2.3.1.-         2.6.1.21,
C00218,Methylamine;,CH5N,31.0422,31.06,map00680  Methane metabolism,R00606 R01584 R01585 R01586 R01587 R01588 R01589 R02919,1.4.1.17        1.4.2.3         1.4.3.4         1.4.3.19,
C00219,Arachidonate;,C20H32O2,304.2402,304.47,map00590  Arachidonic acid metabolism,R01317 R01590 R01593 R01594 R01595 R01596 R01598 R01599,1.13.11.31      1.13.11.33      1.13.11.34      1.13.11.40,
C00220,Methylene blue;,C16H18N3S. Cl,319.0910,319.85,,,,
C00221,beta-D-Glucose;,C6H12O6,180.0634,180.16,map00010  Glycolysis / Gluconeogenesis,R00026 R01520 R01521 R01522 R01600 R01602 R02187 R03256,1.1.1.47        1.1.3.4         1.1.3.5         2.3.1.213,
C00222,3-Oxopropanoate;,C3H4O3,88.0160,88.06,map00240  Pyrimidine metabolism,R00705 R00706 R00740 R00907 R00908 R01604 R01607 R01608,1.1.1.59        1.1.1.298       1.1.1.-         1.2.1.15,
C00223,p-Coumaroyl-CoA;,C30H42N7O18P3S,913.1520,913.68,map00130  Ubiquinone and other terpenoid-quinone biosynthesis,R01613 R01614 R01615 R01616 R01617 R02416 R05163 R06544,1.2.1.44        1.3.1.117       1.14.11.62      1.14.13.-,
C00224,Adenylyl sulfate;,C10H14N5O10PS,427.0199,427.29,map00230  Purine metabolism,R00508 R00509 R00529 R00530 R00531 R00860 R01618 R01619,1.8.4.9         1.8.4.10        1.8.99.2        2.7.1.25,
C00225,Methyl viologen;,C12H14N2. 2Cl,256.0534,257.16,,,,
C00226,Primary alcohol;,CH3OR,,,map00071  Fatty acid degradation,R00623 R00625 R00637 R00639 R02281 R02337 R09470 R09480,1.1.1.1         1.1.1.2         1.1.1.71        1.1.2.7,
C00227,Acetyl phosphate,C2H5O5P,139.9875,140.03,map00430  Taurine and hypotaurine metabolism,R00207 R00230 R00315 R00317 R00320 R00761 R01620 R01621,1.2.3.3         1.21.4.2        1.21.4.3        1.21.4.4,
C00229,Acyl-carrier protein;,HSR,,,map00061  Fatty acid biosynthesis,R01406 R01623 R01624 R01625 R01626 R01706 R02768 R02814,1.2.1.80        2.3.1.15        2.3.1.38        2.3.1.39,
C00230,"3,4-Dihydroxybenzoate;",C7H6O4,154.0266,154.12,map00362  Benzoate degradation,R00822 R01296 R01298 R01627 R01628 R01629 R01630 R01631,1.3.1.53        1.13.11.3       1.13.11.8       1.14.12.8,
C00231,D-Xylulose 5-phosphate,C5H11O8P,230.0192,230.11,map00030  Pentose phosphate pathway,R01067 R01440 R01529 R01621 R01639 R01641 R01830 R05850,1.1.1.301       2.2.1.1         2.2.1.3         2.2.1.13,
C00232,Succinate semialdehyde;,C4H6O3,102.0317,102.09,"map00250  Alanine, aspartate and glutamate metabolism",R00272 R00713 R00714 R01644 R01645 R01647 R01648 R01649,1.1.1.61        1.1.1.-         1.2.1.16        1.2.1.24,
C00233,4-Methyl-2-oxopentanoate;,C6H10O3,130.0630,130.14,"map00280  Valine, leucine and isoleucine degradation",R01088 R01090 R01651 R01652 R01702 R07601 R08566 R10052,1.1.1.85        1.2.1.25        1.2.4.4         1.2.7.7,
C00234,10-Formyltetrahydrofolate;,C20H23N7O7,473.1659,473.44,map00670  One carbon pool by folate,R00941 R00943 R00944 R01654 R01655 R03940 R04325 R04560,1.5.1.6         2.1.2.2         2.1.2.3         2.1.2.9,
C00235,Dimethylallyl diphosphate;,C5H12O7P2,246.0058,246.09,map00740  Riboflavin metabolism,R01122 R01123 R01657 R01658 R01659 R02943 R03799 R04038,1.17.7.4        2.5.1.1         2.5.1.27        2.5.1.28,
C00236,3-Phospho-D-glyceroyl phosphate;,C3H8O10P2,265.9593,266.04,map00010  Glycolysis / Gluconeogenesis,R01061 R01063 R01512 R01515 R01517 R01660 R01662 R02188,1.2.1.12        1.2.1.13        1.2.1.59        2.7.1.106,
C00237,CO;,CO,27.9949,28.01,map00625  Chloroalkane and chloroalkene degradation,R00311 R02156 R03472 R04915 R05155 R05719 R05720 R07157,1.2.5.3         1.2.7.4         1.13.11.24      1.13.11.47,
C00238,Potassium cation;,K,38.9637,39.10,map02020  Two-component system,,,
C00239,dCMP;,C9H14N3O7P,307.0569,307.20,map00240  Pyrimidine metabolism,R01663 R01664 R01665 R01666 R01667 R01668 R01669 R01670,2.1.1.54        2.1.2.8         2.7.1.74        2.7.1.145,
C00240,rRNA;,C15H25O16P2R3,,,,R07233 R07234,2.1.1.171       2.1.1.172       2.1.1.173       2.1.1.174,
C00241,Amide,CH2NOR,,,,R06134 R06138,3.5.1.1         3.5.1.2         3.5.1.3         3.5.1.4,
C00242,Guanine;,C5H5N5O,151.0494,151.13,map00230  Purine metabolism,R01229 R01676 R01677 R01969 R02147 R03789 R10209,2.4.2.1         2.4.2.4         2.4.2.8         2.4.2.15,
C00243,Lactose;,C12H22O11,342.1162,342.30,map00052  Galactose metabolism,R00503 R01100 R01678 R01680 R04393 R05166,1.1.99.13       2.4.1.22        2.7.1.207       3.2.1.23,
C00244,Nitrate;,HNO3,62.9956,63.01,map00910  Nitrogen metabolism,R00791 R00792 R00794 R00796 R00798 R00800 R01106 R02165,1.7.1.1         1.7.1.2         1.7.1.3         1.7.5.1,
C00245,Taurine;,C2H7NO3S,125.0147,125.15,map00120  Primary bile acid biosynthesis,R01682 R01683 R01684 R01685 R01686 R01687 R02797 R03720,1.4.2.-         1.4.99.2        1.5.1.23        1.8.1.-,
C00246,Butanoic acid;,C4H8O2,88.0524,88.11,map00650  Butanoate metabolism,R01176 R01179 R01365 R01688 R01689 R01690 R03781 R04119,1.3.1.31        2.7.2.7         2.8.3.8         2.8.3.9,
C00247,L-Sorbose;,C6H12O6,180.0634,180.16,map00051  Fructose and mannose metabolism,R01694 R01695 R01696 R01697 R02925 R04076 R07145 R07346,1.1.1.14        1.1.1.123       1.1.1.289       1.1.3.11,
C00248,Lipoamide;,C8H15NOS2,205.0595,205.35,,R01698,1.8.1.4,
C00249,Hexadecanoic acid;,C16H32O2,256.2402,256.42,map00061  Fatty acid biosynthesis,R01274 R01280 R01703 R01704 R01705 R01706 R02368 R03049,1.2.1.48        1.11.1.3        1.14.14.80      1.14.-.-,
C00250,Pyridoxal,C8H9NO3,167.0582,167.16,map00750  Vitamin B6 metabolism,R00173 R00174 R01707 R01708 R01709 R01710 R01711 R01712,1.1.1.65        1.1.1.107       1.1.3.12        1.2.3.1,
C00251,Chorismate;,C10H10O6,226.0477,226.18,map00130  Ubiquinone and other terpenoid-quinone biosynthesis,R00985 R00986 R01302 R01714 R01715 R01716 R01717 R05552,2.6.1.85        2.6.1.86        2.6.1.123       3.3.2.13,
C00252,Isomaltose;,C12H22O11,342.1162,342.30,map00500  Starch and sucrose metabolism,R01718 R11309 R11788 R11790 R11791,3.2.1.10        3.2.1.11        3.2.1.204       3.2.1.205,
C00253,Nicotinate;,C6H5NO2,123.0320,123.11,map00760  Nicotinate and nicotinamide metabolism,R00119 R01268 R01720 R01721 R01722 R01723 R01724 R02295,1.17.1.5        1.17.2.1        2.1.1.7         2.4.1.196,
C00254,Prephenate;,C10H10O6,226.0477,226.18,"map00400  Phenylalanine, tyrosine and tryptophan biosynthesis",R01373 R01715 R01728 R01730 R01731 R07276 R10934 R13439,1.3.1.12        1.3.1.13        1.97.1.15       2.6.1.57,
C00255,Riboflavin;,C17H20N4O6,376.1383,376.36,map00740  Riboflavin metabolism,R00066 R00548 R00549 R00550 R01732 R01734 R05707 R08574,1.5.1.30        1.5.1.36        1.5.1.41        2.5.1.9,
C00256,(R)-Lactate;,C3H6O3,90.0317,90.08,map00620  Pyruvate metabolism,R00197 R00198 R00297 R00704 R01448 R01450 R01735 R01736,1.1.1.28        1.1.1.436       1.1.2.4         1.1.2.5,
